id,grouppatrol,officername,location,phone,date,time
1,Group Patrol 1,Patrol 1,"9.88160398988491,76.3027464598417",9847041234,21/04/2024,12:30
2,Group Patrol 2,Patrol 2,"9.8601035917508,76.3033600151539",9847041235,22/04/2024,13:30
3,Group Patrol 3,Patrol 3,"9.82351052439358,76.3100080401332",9847041236,23/04/2024,14:30
4,Group Patrol 4,Patrol 4,"9.6828812,76.3406537",9847041237,24/04/2024,15:30
5,Group Patrol 5,Patrol 5,"9.81139896768147,76.2996952188434",9847041238,25/04/2024,16:30
6,Group Patrol 6,Patrol 6,"9.752067,76.2911739",9847041239,26/04/2024,17:30
7,Group Patrol 7,Patrol 7,"9.67602669854014,76.3006860218222",9847041240,27/04/2024,18:30
8,Group Patrol 8,Patrol 8,"9.7171049,76.3163395",9847041241,28/04/2024,19:30
9,Group Patrol 9,Patrol 9,"9.7063981,76.3058993",9847041242,29/04/2024,20:30
10,Group Patrol 10,Patrol 10,"9.8710524,76.321251",9847041243,30/04/2024,21:30
11,Group Patrol 11,Patrol 11,"9.85079857221639,76.3577575609088",9847041244,01/05/2024,22:30
12,Group Patrol 12,Patrol 12,"9.8212107,76.3501557",9847041245,02/05/2024,23:30
13,Group Patrol 13,Patrol 13,"9.8212119,76.3501531",9847041246,03/05/2024,00:30
14,Group Patrol 14,Patrol 14,"9.7094251,76.3258332",9847041247,04/05/2024,01:30
15,Group Patrol 15,Patrol 15,"9.7187466,76.3185502",9847041248,05/05/2024,02:30
16,Group Patrol 16,Patrol 16,"9.69269418,76.33478909",9847041249,06/05/2024,03:30
17,Group Patrol 17,Patrol 17,"9.69278909561276,76.3447418063879",9847041250,07/05/2024,04:30
18,Group Patrol 18,Patrol 18,"9.62543201446533,76.3317031860352",9847041251,08/05/2024,05:30
19,Group Patrol 19,Patrol 19,"9.687137,76.3419247",9847041252,09/05/2024,06:30
20,Group Patrol 20,Patrol 20,"9.7399589172754,76.3648986071348",9847041253,10/05/2024,07:30
21,Group Patrol 21,Patrol 21,"9.7590811,76.3625299",9847041254,11/05/2024,08:30
22,Group Patrol 22,Patrol 22,"9.6580281,76.3180437",9847041255,12/05/2024,09:30
23,Group Patrol 23,Patrol 23,"9.660382,76.3023537",9847041256,13/05/2024,10:30
24,Group Patrol 24,Patrol 24,"9.6758642,76.3927086",9847041257,14/05/2024,11:30
25,Group Patrol 25,Patrol 25,"9.64233965364555,76.3550642877817",9847041258,15/05/2024,12:30
26,Group Patrol 26,Patrol 26,"9.630966,76.3587814",9847041259,16/05/2024,13:30
27,Group Patrol 27,Patrol 27,"9.66390798948727,76.3392221555114",9847041260,17/05/2024,14:30
28,Group Patrol 28,Patrol 28,"9.6180356,76.3468574",9847041261,18/05/2024,15:30
29,Group Patrol 29,Patrol 29,"9.63614705,76.31483929",9847041262,19/05/2024,16:30
30,Group Patrol 30,Patrol 30,"9.601515,76.316577",9847041263,20/05/2024,17:30
31,Group Patrol 31,Patrol 31,"9.58501071,76.35139935",9847041264,21/05/2024,18:30
32,Group Patrol 32,Patrol 32,"9.57193016,76.34695761",9847041265,22/05/2024,19:30
33,Group Patrol 33,Patrol 33,"9.55018897,76.34264264",9847041266,23/05/2024,20:30
34,Group Patrol 34,Patrol 34,"9.59312716,76.32633292",9847041267,24/05/2024,21:30
35,Group Patrol 35,Patrol 35,"9.56349842,76.30927425",9847041268,25/05/2024,22:30
36,Group Patrol 36,Patrol 36,"9.53830821,76.33123175",9847041269,26/05/2024,23:30
37,Group Patrol 37,Patrol 37,"9.52436647,76.35036338",9847041270,27/05/2024,00:30
38,Group Patrol 38,Patrol 38,"9.513738,76.338269",9847041271,28/05/2024,01:30
39,Group Patrol 39,Patrol 39,"9.54094935,76.32238047",9847041272,29/05/2024,02:30
